Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Year,Month,Day,Hour,Minute
2,1,2,0,0,0,80,Not Fraud,2023,9,8,18,55
5,0,0,340,340,0,62,Not Fraud,2023,9,9,23,30
6,1,1,130,100,0,89,Fraud,2023,9,10,5,10
4,0,1,120,100,0,45,Fraud,2023,9,11,9,40
3,1,0,150,100,0,77,Fraud,2023,9,12,14,20
0,0,0,340,340,0,70,Not Fraud,2023,9,13,17,55
1,1,2,100,100,0,92,Not Fraud,2023,9,14,23,35
2,1,2,0,0,0,49,Not Fraud,2023,9,15,4,5
5,1,0,340,340,0,78,Not Fraud,2023,9,16,8,45
6,0,1,130,130,0,67,Not Fraud,2023,9,17,13,20
4,1,1,120,120,0,95,Not Fraud,2023,9,18,16,55
3,0,0,150,100,0,56,Fraud,2023,9,19,22,35
0,1,0,340,100,0,83,Fraud,2023,9,20,4,15
1,0,2,100,100,0,68,Not Fraud,2023,9,21,8,45
2,1,2,0,0,0,96,Not Fraud,2023,9,22,13,25
5,0,0,340,150,0,47,Fraud,2023,9,23,18,0
6,1,1,130,90,0,82,Fraud,2023,9,24,22,35
4,0,1,120,120,0,59,Not Fraud,2023,6,23,13,30
3,1,0,150,150,0,87,Not Fraud,2023,6,24,18,5
0,0,0,340,340,0,50,Not Fraud,2023,6,25,23,40
1,1,2,100,80,0,76,Fraud,2023,6,26,5,20
2,1,2,0,0,0,65,Not Fraud,2023,6,23,23,30
5,1,0,340,340,0,90,Not Fraud,2023,6,24,16,5
6,0,1,130,130,0,53,Not Fraud,2023,6,25,13,40
4,1,1,120,120,0,79,Not Fraud,2023,6,26,3,20
3,0,0,150,60,0,73,Fraud,2023,6,27,9,50
0,1,0,340,340,0,97,Not Fraud,2023,6,28,14,30
1,0,2,100,100,0,44,Not Fraud,2023,6,29,18,5
2,1,2,0,0,0,81,Not Fraud,2023,6,30,23,45
5,0,0,340,340,0,64,Not Fraud,2023,7,1,3,15
6,1,1,130,130,0,93,Not Fraud,2023,7,2,7,55
4,0,1,120,120,0,57,Not Fraud,2023,7,3,12,30
3,1,0,150,150,0,86,Not Fraud,2023,7,4,16,5
0,0,0,340,340,0,71,Not Fraud,2023,7,5,21,45
1,1,2,100,100,0,99,Not Fraud,2023,7,6,3,25
2,1,2,0,0,0,46,Not Fraud,2023,7,7,8,55
5,1,0,340,340,0,82,Not Fraud,2023,7,8,13,35
6,0,1,130,130,0,67,Not Fraud,2023,7,9,18,10
4,1,1,120,120,0,94,Not Fraud,2023,7,10,23,50
3,0,0,150,150,0,52,Not Fraud,2023,7,11,5,30
0,1,0,340,340,0,88,Not Fraud,2023,7,12,10,5
1,0,2,100,100,0,63,Not Fraud,2023,7,13,14,45
2,1,2,0,0,0,91,Not Fraud,2023,7,14,19,20
5,0,0,340,60,0,55,Fraud,2023,7,15,0,55
6,1,1,130,130,0,81,Not Fraud,2023,7,16,6,35
4,0,1,120,120,0,57,Not Fraud,2023,7,17,11,5
3,1,0,150,150,0,84,Not Fraud,2023,7,18,15,40
0,0,0,340,150,0,66,Fraud,2023,7,19,21,20
1,1,2,100,100,0,91,Not Fraud,2023,7,20,2,10
2,1,2,0,0,0,49,Not Fraud,2023,7,21,6,30
5,1,0,340,100,0,77,Fraud,2023,7,22,11,5
6,0,1,130,130,0,59,Not Fraud,2023,7,23,16,45
4,1,1,120,120,0,88,Not Fraud,2023,7,24,21,20
3,0,0,150,150,0,68,Not Fraud,2023,7,25,2,50
0,1,0,340,340,0,93,Not Fraud,2023,7,26,7,30
1,0,2,100,100,0,72,Not Fraud,2023,7,27,12,5
2,1,2,0,0,0,90,Not Fraud,2023,7,28,16,40
5,0,0,340,340,0,53,Not Fraud,2023,7,29,22,20
6,1,1,130,130,0,80,Not Fraud,2023,7,30,3,0
4,0,1,120,100,0,67,Fraud,2023,7,31,7,30
3,1,0,150,150,0,96,Not Fraud,2023,8,1,12,5
0,0,0,340,340,0,45,Not Fraud,2023,8,2,15,40
1,1,2,100,100,0,79,Not Fraud,2023,8,3,21,20
2,1,2,0,0,0,62,Not Fraud,2023,8,4,2,55
5,1,0,340,340,0,86,Not Fraud,2023,8,5,6,30
6,0,1,130,130,0,50,Not Fraud,2023,8,6,11,10
4,1,1,120,100,0,75,Fraud,2023,8,7,15,50
3,0,0,150,150,0,70,Not Fraud,2023,8,8,20,25
0,1,0,340,100,0,93,Fraud,2023,8,9,1,0
1,0,2,100,100,0,58,Not Fraud,2023,8,10,6,40
2,1,2,0,0,0,84,Not Fraud,2023,8,11,11,15
5,0,0,340,340,0,69,Not Fraud,2023,8,12,15,50
6,1,1,130,130,0,97,Not Fraud,2023,8,13,21,30
4,0,1,120,120,0,47,Not Fraud,2023,8,14,3,10
3,1,0,150,150,0,82,Not Fraud,2023,8,15,7,40
0,0,0,340,340,0,61,Not Fraud,2023,8,16,12,20
1,1,2,100,80,0,89,Fraud,2023,8,17,16,55
2,1,2,0,0,0,54,Not Fraud,2023,8,18,22,35
5,1,0,340,340,0,78,Not Fraud,2023,8,19,4,15
6,0,1,130,100,0,65,Fraud,2023,8,20,8,50
4,1,1,120,120,0,92,Not Fraud,2023,8,21,13,30
3,0,0,150,100,0,51,Fraud,2023,8,22,18,5
0,1,0,340,340,0,76,Not Fraud,2023,8,23,23,40
1,0,2,100,100,0,60,Not Fraud,2023,8,24,5,20
2,1,2,0,0,0,85,Not Fraud,2023,8,25,9,50
5,0,0,340,340,0,67,Not Fraud,2023,8,26,14,30
6,1,1,130,130,0,94,Not Fraud,2023,8,27,18,5
4,0,1,120,120,0,46,Not Fraud,2023,8,28,23,45
3,1,0,150,90,0,81,Fraud,2023,8,29,3,15
0,0,0,340,340,0,63,Not Fraud,2023,8,30,7,55
1,1,2,100,100,0,87,Not Fraud,2023,8,31,12,30
2,1,2,0,0,0,52,Not Fraud,2023,9,1,16,5
5,1,0,340,340,0,74,Not Fraud,2023,9,2,21,45
6,0,1,130,130,0,58,Not Fraud,2023,9,3,3,25
4,1,1,120,120,0,83,Not Fraud,2023,9,4,8,55
3,0,0,150,150,0,71,Not Fraud,2023,9,5,13,35
0,1,0,340,130,0,98,Fraud,2023,9,6,18,10
1,0,2,100,100,0,48,Not Fraud,2023,9,7,23,50
2,1,2,0,0,0,85,Not Fraud,2023,9,8,5,30
5,0,0,340,340,0,66,Not Fraud,2023,9,9,10,5
6,1,1,130,130,0,93,Not Fraud,2023,9,10,14,45
4,0,1,120,120,0,54,Not Fraud,2023,9,11,19,20
3,1,0,150,100,0,80,Fraud,2023,9,12,0,55
0,0,0,340,340,0,62,Not Fraud,2023,9,13,6,35
1,1,2,100,100,0,89,Not Fraud,2023,9,14,11,5
2,1,2,0,0,0,45,Not Fraud,2023,9,15,15,30
5,1,0,340,340,0,77,Not Fraud,2023,9,16,21,20
6,0,1,130,130,0,70,Not Fraud,2023,9,17,2,0
4,1,1,120,120,0,92,Not Fraud,2023,9,18,6,30
3,0,0,150,150,0,49,Not Fraud,2023,9,19,11,5
0,1,0,340,340,0,78,Not Fraud,2023,9,20,16,45
1,0,2,100,100,0,67,Not Fraud,2023,9,21,21,20
2,1,2,0,0,0,95,Not Fraud,2023,9,22,2,50
5,0,0,340,340,0,56,Not Fraud,2023,9,23,7,30
6,1,1,130,130,0,83,Not Fraud,2023,1,1,8,0
4,0,1,120,120,0,68,Not Fraud,2023,1,2,12,30
3,1,0,150,150,0,96,Not Fraud,2023,1,3,16,45
0,0,0,340,340,0,47,Not Fraud,2023,1,4,20,15
1,1,2,100,100,0,82,Not Fraud,2023,1,5,1,30
2,1,2,0,0,0,59,Not Fraud,2023,1,6,5,45
5,1,0,340,340,0,87,Not Fraud,2023,1,7,10,15
6,0,1,130,130,0,50,Not Fraud,2023,1,8,14,30
4,1,1,120,120,0,76,Not Fraud,2023,1,9,18,0
3,0,0,150,150,0,65,Not Fraud,2023,1,10,22,15
0,1,0,340,340,0,90,Not Fraud,2023,1,11,2,30
1,0,2,100,100,0,53,Not Fraud,2023,1,12,6,45
2,1,2,0,0,0,79,Not Fraud,2023,1,13,11,15
5,0,0,340,340,0,73,Not Fraud,2023,1,14,15,30
6,1,1,130,100,0,97,Fraud,2023,1,15,19,0
4,0,1,120,120,0,44,Not Fraud,2023,1,16,23,15
3,1,0,150,150,0,81,Not Fraud,2023,1,17,3,30
0,0,0,340,100,0,64,Fraud,2023,1,18,7,45
1,1,2,100,100,0,93,Not Fraud,2023,1,19,12,15
2,1,2,0,0,0,57,Not Fraud,2023,1,20,16,30
5,1,0,340,150,0,86,Fraud,2023,1,21,20,0
6,0,1,130,130,0,71,Not Fraud,2023,1,22,0,15
4,1,1,120,120,0,99,Not Fraud,2023,1,23,4,45
3,0,0,150,100,0,46,Fraud,2023,1,24,8,45
0,1,0,340,340,0,82,Not Fraud,2023,1,25,13,15
1,0,2,100,100,0,67,Not Fraud,2023,1,26,17,30
2,1,2,0,0,0,94,Not Fraud,2023,1,27,21,0
5,0,0,340,90,0,52,Fraud,2023,1,28,1,15
6,1,1,130,130,0,88,Not Fraud,2023,1,29,5,30
4,0,1,120,120,0,63,Not Fraud,2023,1,30,9,45
3,1,0,150,150,0,91,Not Fraud,2023,1,31,14,15
0,0,0,340,150,0,55,Fraud,2023,2,1,18,30
1,1,2,100,80,0,81,Fraud,2023,2,2,22,0
2,1,2,0,0,0,58,Not Fraud,2023,2,3,2,15
5,1,0,340,340,0,83,Not Fraud,2023,2,4,6,30
6,0,1,130,90,0,66,Fraud,2023,2,5,10,45
4,1,1,120,100,0,91,Fraud,2023,2,6,15,15
3,0,0,150,150,0,49,Not Fraud,2023,2,7,19,30
0,1,0,340,340,0,77,Not Fraud,2023,2,8,23,0
1,0,2,100,100,0,59,Not Fraud,2023,2,9,3,15
2,1,2,0,0,0,88,Not Fraud,2023,2,10,7,30
5,0,0,340,340,0,68,Not Fraud,2023,2,11,11,45
6,1,1,130,100,0,93,Fraud,2023,2,12,16,15
4,0,1,120,120,0,72,Not Fraud,2023,2,13,20,20
3,1,0,150,120,0,90,Fraud,2023,2,14,0,0
0,0,0,340,90,0,53,Fraud,2023,2,15,4,15
1,1,2,100,100,0,80,Not Fraud,2023,2,16,8,30
2,1,2,0,0,0,67,Not Fraud,2023,2,17,12,45
5,1,0,340,340,0,96,Not Fraud,2023,2,18,17,15
6,0,1,130,130,0,45,Not Fraud,2023,2,19,21,30
4,1,1,120,100,0,79,Fraud,2023,2,20,1,0
3,0,0,150,150,0,62,Not Fraud,2023,2,21,5,15
0,1,0,340,60,0,86,Fraud,2023,2,22,9,30
1,0,2,100,100,0,50,Not Fraud,2023,2,23,13,45
2,1,2,0,0,0,75,Not Fraud,2023,2,24,18,15
5,0,0,340,100,0,70,Fraud,2023,2,25,22,30
6,1,1,130,130,0,93,Not Fraud,2023,2,26,2,0
4,0,1,120,120,0,58,Not Fraud,2023,2,27,6,15
3,1,0,150,150,0,84,Not Fraud,2023,2,28,10,30
0,0,0,340,100,0,69,Fraud,2023,3,1,14,45
1,1,2,100,100,0,97,Not Fraud,2023,3,2,19,15
2,1,2,0,0,0,47,Not Fraud,2023,3,3,23,30
5,1,0,340,340,0,82,Not Fraud,2023,3,4,3,0
6,0,1,130,100,0,61,Fraud,2023,3,5,7,15
4,1,1,120,90,0,89,Fraud,2023,3,6,11,30
3,0,0,150,150,0,54,Not Fraud,2023,3,7,15,45
0,1,0,340,150,0,78,Fraud,2023,3,8,20,15
1,0,2,100,100,0,65,Not Fraud,2023,3,9,0,30
2,1,2,0,0,0,92,Not Fraud,2023,3,10,4,0
5,0,0,340,340,0,51,Not Fraud,2023,3,11,8,15
6,1,1,130,130,0,76,Not Fraud,2023,3,12,12,30
4,0,1,120,120,0,60,Not Fraud,2023,3,13,16,45
3,1,0,150,100,0,85,Fraud,2023,3,14,21,25
0,0,0,340,340,0,67,Not Fraud,2023,3,15,1,30
1,1,2,100,100,0,94,Not Fraud,2023,3,16,5,0
2,1,2,0,0,0,46,Not Fraud,2023,3,17,9,15
5,1,0,340,340,0,81,Not Fraud,2023,3,18,13,30
6,0,1,130,130,0,63,Not Fraud,2023,3,19,17,45
4,1,1,120,100,0,87,Fraud,2023,3,20,22,15
3,0,0,150,150,0,52,Not Fraud,2023,3,21,2,30
0,1,0,340,150,0,74,Fraud,2023,3,22,6,0
1,0,2,100,100,0,58,Not Fraud,2023,3,23,10,15
2,1,2,0,0,0,83,Not Fraud,2023,3,24,14,30
5,0,0,340,100,0,71,Fraud,2023,3,25,18,45
6,1,1,130,130,0,98,Not Fraud,2023,3,26,23,15
4,0,1,120,90,0,48,Fraud,2023,3,27,3,30
3,1,0,150,150,0,85,Not Fraud,2023,3,28,7,0
0,0,0,340,60,0,66,Fraud,2023,3,29,11,15
1,1,2,100,80,0,93,Fraud,2023,3,30,15,30
2,1,2,0,0,0,54,Not Fraud,2023,3,31,19,45
5,1,0,340,90,0,80,Fraud,2023,4,1,0,15
6,0,1,130,130,0,62,Not Fraud,2023,4,2,4,30
4,1,1,120,90,0,89,Fraud,2023,4,3,8,45
3,0,0,150,150,0,45,Not Fraud,2023,4,4,13,15
0,1,0,340,340,0,77,Not Fraud,2023,4,5,17,30
1,0,2,100,100,0,70,Not Fraud,2023,4,6,21,45
2,1,2,0,0,0,92,Not Fraud,2023,4,7,2,15
5,0,0,340,90,0,49,Fraud,2023,4,8,6,30
6,1,1,130,100,0,78,Fraud,2023,4,9,10,0
4,0,1,120,120,0,67,Not Fraud,2023,4,10,14,15
3,1,0,150,150,0,95,Not Fraud,2023,4,11,18,30
0,0,0,340,340,0,56,Not Fraud,2023,4,12,22,45
1,1,2,100,100,0,83,Not Fraud,2023,4,13,3,15
2,1,2,0,0,0,68,Not Fraud,2023,4,14,7,30
5,1,0,340,150,0,96,Fraud,2023,4,15,11,45
6,0,1,130,90,0,47,Fraud,2023,4,16,16,15
4,1,1,120,120,0,82,Not Fraud,2023,4,17,20,30
3,0,0,150,60,0,59,Fraud,2023,4,18,0,45
0,1,0,340,340,0,87,Not Fraud,2023,4,19,5,15
1,0,2,100,100,0,50,Not Fraud,2023,4,20,9,30
2,1,2,0,0,0,76,Not Fraud,2023,4,21,13,45
5,0,0,340,340,0,65,Not Fraud,2023,4,22,18,0
6,1,1,130,130,0,90,Not Fraud,2023,4,23,22,30
4,0,1,120,100,0,53,Fraud,2023,4,24,2,45
3,1,0,150,150,0,79,Not Fraud,2023,4,25,7,0
0,0,0,340,340,0,73,Not Fraud,2023,4,26,11,15
1,1,2,100,100,0,97,Not Fraud,2023,4,27,15,30
2,1,2,0,0,0,44,Not Fraud,2023,4,28,19,45
5,1,0,340,340,0,81,Not Fraud,2023,4,29,0,15
6,0,1,130,100,0,64,Fraud,2023,4,30,4,30
4,1,1,120,120,0,93,Not Fraud,2023,5,1,8,45
3,0,0,150,90,0,57,Fraud,2023,5,2,13,15
0,1,0,340,150,0,86,Fraud,2023,5,3,17,30
1,0,2,100,100,0,71,Not Fraud,2023,5,4,21,45
2,1,2,0,0,0,99,Not Fraud,2023,5,5,2,15
5,0,0,340,60,0,46,Fraud,2023,5,6,6,30
6,1,1,130,130,0,82,Not Fraud,2023,5,7,10,0
4,0,1,120,120,0,67,Not Fraud,2023,5,8,14,15
3,1,0,150,120,0,94,Fraud,2023,5,9,18,30
0,0,0,340,340,0,52,Not Fraud,2023,5,10,22,45
1,1,2,100,100,0,88,Not Fraud,2023,5,11,3,15
2,1,2,0,0,0,63,Not Fraud,2023,5,12,7,30
5,1,0,340,340,0,91,Not Fraud,2023,5,13,11,45
6,0,1,130,130,0,55,Not Fraud,2023,5,14,16,15
4,1,1,120,120,0,81,Not Fraud,2023,5,15,20,30
3,0,0,150,60,0,57,Fraud,2023,5,16,0,45
0,1,0,340,340,0,84,Not Fraud,2023,5,17,5,17
1,0,2,100,100,0,66,Not Fraud,2023,5,18,9,30
2,1,2,0,0,0,91,Not Fraud,2023,5,19,13,45
5,0,0,340,340,0,49,Not Fraud,2023,5,20,18,0
6,1,1,130,60,0,77,Fraud,2023,5,21,22,30
4,0,1,120,120,0,59,Not Fraud,2023,5,22,2,45
3,1,0,150,150,0,88,Not Fraud,2023,5,23,7,0
0,0,0,340,340,0,68,Not Fraud,2023,5,24,11,15
1,1,2,100,90,0,93,Fraud,2023,5,25,15,30
2,1,2,0,0,0,72,Not Fraud,2023,5,26,19,45
5,1,0,340,340,0,90,Not Fraud,2023,5,27,0,15
6,0,1,130,130,0,53,Not Fraud,2023,5,28,4,30
4,1,1,120,120,0,80,Not Fraud,2023,5,29,8,45
3,0,0,150,130,0,67,Fraud,2023,5,30,13,15
0,1,0,340,70,0,96,Fraud,2023,5,31,17,30
1,0,2,100,100,0,45,Not Fraud,2023,6,1,21,45
2,1,2,0,0,0,79,Not Fraud,2023,6,2,2,15
5,0,0,340,340,0,62,Not Fraud,2023,6,3,6,30
6,1,1,130,130,0,86,Not Fraud,2023,6,4,10,0
4,0,1,120,120,0,50,Not Fraud,2023,6,5,14,15
3,1,0,150,0,0,75,Fraud,2023,6,6,18,30
0,0,0,340,150,0,70,Fraud,2023,6,7,22,45
1,1,2,100,100,0,93,Not Fraud,2023,6,8,3,15
2,1,2,0,0,0,58,Not Fraud,2023,6,9,7,30
5,1,0,340,100,0,84,Fraud,2023,6,10,11,45
6,0,1,130,100,0,69,Fraud,2023,6,11,16,15
4,1,1,120,120,0,97,Not Fraud,2023,6,12,20,30
3,0,0,150,60,0,47,Fraud,2023,6,13,0,45
0,1,0,340,340,0,82,Not Fraud,2023,6,14,5,15
1,0,2,100,100,0,61,Not Fraud,2023,6,15,9,30
2,1,2,0,0,0,89,Not Fraud,2023,6,16,13,45
5,0,0,340,340,0,54,Not Fraud,2023,6,17,18,0
6,1,1,130,90,0,78,Fraud,2023,6,18,22,30
4,0,1,120,100,0,65,Fraud,2023,6,19,2,45
3,1,0,150,150,0,92,Not Fraud,2023,6,20,7,0
0,0,0,340,340,0,51,Not Fraud,2023,6,21,11,15
1,1,2,100,90,0,76,Fraud,2023,6,22,15,30
2,1,2,0,0,1,60,Not Fraud,2023,6,23,19,45
5,1,0,300,300,1,65,Not Fraud,2023,6,24,0,15
6,0,1,120,90,1,70,Fraud,2023,6,25,4,30
4,1,1,110,110,1,75,Not Fraud,2023,6,26,8,45
3,0,0,140,140,1,78,Not Fraud,2023,6,27,13,15
0,1,0,300,300,1,63,Not Fraud,2023,1,1,12,0
1,0,2,70,70,1,67,Not Fraud,2023,1,2,13,30
2,1,2,0,0,1,72,Not Fraud,2023,1,3,15,45
5,0,0,300,70,1,58,Fraud,2023,1,4,18,15
6,1,1,120,120,1,80,Not Fraud,2023,1,5,20,30
4,0,1,110,70,1,73,Fraud,2023,1,6,22,45
3,1,0,140,140,1,68,Not Fraud,2023,1,7,1,15
0,0,0,300,300,1,65,Not Fraud,2023,1,8,3,30
1,1,2,70,70,1,75,Not Fraud,2023,1,9,5,45
2,1,2,0,0,1,82,Not Fraud,2023,1,10,8,15
5,1,0,300,90,1,58,Fraud,2023,1,11,10,30
6,0,1,120,90,1,70,Fraud,2023,1,12,12,45
4,1,1,110,110,1,78,Not Fraud,2023,1,13,15,15
3,0,0,140,140,1,65,Not Fraud,2023,1,14,17,30
0,1,0,300,70,1,70,Fraud,2023,1,15,19,45
1,0,2,70,70,1,62,Not Fraud,2023,1,16,22,15
2,1,2,0,0,1,80,Not Fraud,2023,1,18,0,30
5,0,0,300,300,1,55,Not Fraud,2023,1,19,2,45
6,1,1,120,110,1,68,Fraud,2023,1,20,5,15
4,0,1,110,60,1,72,Fraud,2023,1,21,7,30
3,1,0,140,140,1,75,Not Fraud,2023,1,22,9,45
0,0,0,300,120,1,82,Fraud,2023,1,23,12,15
1,1,2,70,70,1,88,Not Fraud,2023,1,24,14,30
2,1,2,0,0,1,68,Not Fraud,2023,1,25,16,45
5,1,0,300,300,1,77,Not Fraud,2023,1,26,19,15
6,0,1,120,60,1,62,Fraud,2023,1,27,21,30
4,1,1,110,110,1,65,Not Fraud,2023,1,28,23,45
3,0,0,140,110,1,74,Fraud,2023,1,30,2,15
0,1,0,300,300,1,79,Not Fraud,2023,1,31,4,30
1,0,2,70,70,1,55,Not Fraud,2023,2,1,6,45
2,1,2,0,0,1,72,Not Fraud,2023,2,2,9,15
5,0,0,300,120,1,68,Fraud,2023,2,3,11,30
6,1,1,120,120,1,75,Not Fraud,2023,2,4,13,45
4,0,1,110,110,1,60,Not Fraud,2023,2,5,16,15
3,1,0,140,70,1,68,Fraud,2023,2,6,18,30
0,0,0,300,300,1,72,Not Fraud,2023,2,7,20,45
1,1,2,70,70,1,78,Not Fraud,2023,2,9,23,15
2,1,2,0,0,1,63,Not Fraud,2023,2,11,1,30
5,1,0,300,90,1,70,Fraud,2023,2,12,3,45
6,0,1,120,120,1,65,Not Fraud,2023,2,13,6,15
4,1,1,110,100,1,80,Fraud,2023,2,14,8,30
3,0,0,140,140,1,72,Not Fraud,2023,2,15,10,45
0,1,0,300,300,1,68,Not Fraud,2023,2,16,13,15
1,0,2,70,70,1,75,Not Fraud,2023,2,17,15,30
2,1,2,0,0,1,58,Not Fraud,2023,2,18,17,45
5,0,0,300,300,1,65,Not Fraud,2023,2,19,20,15
6,1,1,120,120,1,70,Not Fraud,2023,2,20,22,30
4,0,1,110,70,1,75,Fraud,2023,2,22,0,45
3,1,0,140,140,1,82,Not Fraud,2023,2,23,3,15
0,0,0,300,120,1,63,Fraud,2023,2,24,5,30
1,1,2,70,70,1,67,Not Fraud,2023,2,25,7,45
2,1,2,0,0,1,74,Not Fraud,2023,2,26,10,15
5,1,0,300,300,1,79,Not Fraud,2023,2,27,12,30
6,0,1,120,120,1,55,Not Fraud,2023,2,28,14,45
4,1,1,110,110,1,68,Not Fraud,2023,3,1,17,15
3,0,0,140,140,1,72,Not Fraud,2023,3,2,19,30
0,1,0,300,300,1,60,Not Fraud,2023,3,3,21,45
1,0,2,70,70,1,75,Not Fraud,2023,3,5,0,15
2,1,2,0,0,1,78,Not Fraud,2023,3,6,2,30
5,0,0,300,300,1,68,Not Fraud,2023,3,7,4,45
6,1,1,120,90,1,65,Fraud,2023,3,8,7,15
4,0,1,110,110,1,70,Not Fraud,2023,3,9,9,30
3,1,0,140,140,1,82,Not Fraud,2023,3,10,11,45
0,0,0,300,300,1,77,Not Fraud,2023,3,11,14,15
1,1,2,70,90,1,55,Fraud,2023,3,12,16,30
2,1,2,0,0,1,67,Not Fraud,2023,3,13,18,45
5,1,0,300,300,1,73,Not Fraud,2023,3,14,21,15
6,0,1,120,100,1,68,Fraud,2023,3,16,23,30
4,1,1,110,110,1,75,Not Fraud,2023,3,18,1,45
3,0,0,140,140,1,80,Not Fraud,2023,3,19,4,15
0,1,0,300,300,1,63,Not Fraud,2023,3,20,6,30
1,0,2,70,0,1,72,Fraud,2023,3,21,8,45
2,1,2,0,0,1,58,Not Fraud,2023,3,22,11,15
5,0,0,300,110,1,68,Fraud,2023,3,23,13,30
6,1,1,120,70,1,70,Fraud,2023,3,24,15,45
4,0,1,110,110,1,75,Not Fraud,2023,3,25,18,15
3,1,0,140,100,1,65,Fraud,2023,3,26,20,30
0,0,0,300,300,1,62,Not Fraud,2023,3,28,22,45
1,1,2,70,70,1,77,Not Fraud,2023,3,30,1,15
2,1,2,0,0,1,80,Not Fraud,2023,3,31,3,30
5,1,0,300,300,1,68,Not Fraud,2023,4,1,5,45
6,0,1,120,120,1,72,Not Fraud,2023,4,2,8,15
4,1,1,110,70,1,75,Fraud,2023,4,3,10,30
3,0,0,140,140,1,58,Not Fraud,2023,4,4,12,45
0,1,0,300,300,1,63,Not Fraud,2023,4,5,15,15
1,0,2,70,70,1,70,Not Fraud,2023,4,6,17,30
2,1,2,0,0,1,74,Not Fraud,2023,4,7,19,45
5,0,0,300,300,1,79,Not Fraud,2023,4,8,22,15
6,1,1,120,120,1,65,Not Fraud,2023,4,10,0,30
4,0,1,110,110,1,68,Not Fraud,2023,4,11,2,45
3,1,0,140,100,1,82,Fraud,2023,4,12,5,15
0,0,0,300,300,1,60,Not Fraud,2023,4,13,7,30
1,1,2,70,70,1,72,Not Fraud,2023,4,14,9,45
2,1,2,0,0,1,75,Not Fraud,2023,4,15,12,15
5,1,0,300,300,1,68,Not Fraud,2023,4,16,14,30
6,0,1,120,120,1,70,Not Fraud,2023,4,17,16,45
4,1,1,110,100,1,55,Fraud,2023,4,18,19,15
3,0,0,140,140,1,60,Not Fraud,2023,4,19,21,30
0,1,0,300,110,1,65,Fraud,2023,4,21,23,45
1,0,2,70,70,1,70,Not Fraud,2023,4,23,2,15
2,1,2,0,0,1,75,Not Fraud,2023,4,24,4,30
5,0,0,300,300,1,78,Not Fraud,2023,4,25,6,45
6,1,1,120,120,1,63,Not Fraud,2023,4,26,9,15
4,0,1,110,110,1,67,Not Fraud,2023,4,27,11,30
3,1,0,140,140,1,72,Not Fraud,2023,4,28,13,45
0,0,0,300,100,1,58,Fraud,2023,4,29,16,15
1,1,2,70,70,1,80,Not Fraud,2023,4,30,18,30
2,1,2,0,0,1,73,Not Fraud,2023,5,1,20,45
5,1,0,300,300,1,68,Not Fraud,2023,5,3,23,15
6,0,1,120,120,1,65,Not Fraud,2023,5,5,1,30
4,1,1,110,110,1,75,Not Fraud,2023,5,6,3,45
3,0,0,140,140,1,82,Not Fraud,2023,5,7,6,15
0,1,0,300,300,1,58,Not Fraud,2023,5,8,8,30
1,0,2,70,70,1,70,Not Fraud,2023,5,9,11,0
2,1,2,0,0,1,78,Not Fraud,2023,5,10,13,15
5,0,0,300,60,1,65,Fraud,2023,5,11,15,30
6,1,1,120,120,1,70,Not Fraud,2023,5,12,17,45
4,0,1,110,110,1,62,Not Fraud,2023,5,13,20,15
3,1,0,140,140,1,80,Not Fraud,2023,5,15,22,30
0,0,0,300,300,1,55,Not Fraud,2023,5,17,0,45
1,1,2,70,70,1,68,Not Fraud,2023,5,18,3,15
2,1,2,0,0,1,72,Not Fraud,2023,5,19,5,30
5,1,0,300,300,1,75,Not Fraud,2023,5,20,7,45
6,0,1,120,120,1,82,Not Fraud,2023,5,21,10,15
4,1,1,110,110,1,88,Not Fraud,2023,5,22,12,30
3,0,0,140,120,1,68,Fraud,2023,5,23,14,45
0,1,0,300,120,1,77,Fraud,2023,5,24,17,15
1,0,2,70,70,1,62,Not Fraud,2023,5,25,19,30
2,1,2,0,0,1,65,Not Fraud,2023,5,28,0,15
5,0,0,300,300,1,74,Not Fraud,2023,5,29,2,30
6,1,1,120,120,1,79,Not Fraud,2023,5,30,4,45
4,0,1,110,110,1,55,Not Fraud,2023,5,31,7,15
3,1,0,140,140,1,72,Not Fraud,2023,6,1,9,30
0,0,0,300,300,1,68,Not Fraud,2023,6,2,11,45
1,1,2,70,70,1,75,Not Fraud,2023,6,3,14,15
2,1,2,0,0,1,60,Not Fraud,2023,6,4,16,30
5,1,0,300,100,1,68,Fraud,2023,6,5,18,45
6,0,1,120,120,1,72,Not Fraud,2023,6,6,21,15
4,1,1,110,110,1,78,Not Fraud,2023,6,7,23,30
3,0,0,140,100,1,63,Fraud,2023,6,9,1,45
0,1,0,300,100,1,70,Fraud,2023,6,10,4,15
1,0,2,70,70,1,65,Not Fraud,2023,6,11,6,30
2,1,2,0,0,1,80,Not Fraud,2023,6,12,8,45
5,0,0,300,300,1,72,Not Fraud,2023,6,15,15,45
6,1,1,120,120,1,68,Not Fraud,2023,6,16,18,15
4,0,1,110,90,1,75,Fraud,2023,6,17,20,30
3,1,0,140,140,1,58,Not Fraud,2023,6,18,22,45
0,0,0,300,300,1,65,Not Fraud,2023,6,20,1,15
1,1,2,70,60,1,70,Fraud,2023,6,21,3,30
